Disease,Symptoms,Gender,Age,Medicine
Vitiligo,"White patches on skin, loss of pigmentation",Gender Neutral,Any age (often starts 10-30),"Topical steroids, light therapy, tacrolimus"
Von Willebrand Disease,"Easy bruising, prolonged bleeding, nosebleeds",Gender Neutral (slightly more females diagnosed),Any age (inherited disorder),"Desmopressin (DDAVP), clotting factor concentrates"
Vulvodynia,"Chronic vulvar pain, burning, soreness",Female,Adults (20-60),"Antidepressants (amitriptyline), nerve blocks"
Vaginal Atrophy (Genitourinary Syndrome of Menopause),"Vaginal dryness, pain during sex, itching",Female,Postmenopausal women (50+),"Vaginal estrogen, moisturizers"
Viral Conjunctivitis (Pink Eye),"Red eyes, itching, discharge, tearing",Gender Neutral,Any age,"Antihistamine drops, artificial tears (if viral, no antibiotics)"
Viral Gastroenteritis (Stomach Flu),"Diarrhea, vomiting, stomach cramps, fever",Gender Neutral,Any age,"Hydration (oral rehydration solutions), antiemetics"
Viral Meningitis,"Headache, fever, stiff neck, light sensitivity",Gender Neutral,Children & young adults (5-30),"Supportive care (fluids, pain relievers)"
Vitamin B12 Deficiency,"Fatigue, numbness, memory issues, anemia",Gender Neutral,Adults (40+),"B12 injections, oral supplements"
Vitamin D Deficiency,"Bone pain, muscle weakness, fatigue",Gender Neutral,All ages (more common in elderly),Vitamin D supplements
Vocal Cord Nodules,"Hoarseness, voice fatigue, throat pain",Gender Neutral (more in singers/teachers),Teens to adults (15-50),"Voice therapy, surgery if severe"
Vocal Cord Paralysis,"Hoarseness, weak voice, breathing difficulty",Gender Neutral,Adults (30-70),"Voice therapy, surgery (laryngeal framework surgery)"
Vulvar Cancer,"Itching, pain, bleeding, skin changes",Female,Older adults (50+),"Surgery, radiation, chemotherapy"
Vulvar Intraepithelial Neoplasia (VIN),"Itching, burning, skin thickening",Female,Adults (30-60),"Topical creams (imiquimod), laser therapy"
Vaginismus,Painful vaginal muscle spasms during penetration,Female,Teens to adults (15-50),"Pelvic floor therapy, dilators, counseling"
Ventricular Septal Defect (VSD),"Heart murmur, fatigue, poor growth (in infants)",Gender Neutral,Congenital (present at birth),Surgery if large defect
Viral Pharyngitis,"Sore throat, fever, swollen lymph nodes",Gender Neutral,Any age,"Rest, NSAIDs (ibuprofen), throat lozenges"
Viral Pneumonia,"Cough, fever, shortness of breath, fatigue",Gender Neutral,Any age (severe in elderly/immunocompromised),"Antivirals (oseltamivir if flu-related), supportive care"
Visceral Leishmaniasis (Kala-azar),"Fever, weight loss, enlarged spleen/liver",Gender Neutral,Any (common in tropical regions),"Amphotericin B, miltefosine"
Vitamin A Deficiency,"Night blindness, dry skin, infections",Gender Neutral,Children in developing countries,Vitamin A supplements
Vitamin K Deficiency,"Easy bruising, bleeding gums, heavy periods",Gender Neutral,"Newborns, malnourished adults",Vitamin K injections/oral supplements
Volvulus (Intestinal),"Severe abdominal pain, vomiting, bloating",Gender Neutral,Infants (malrotation) & elderly,Emergency surgery
Vomiting Syndrome (Cyclic Vomiting Syndrome),"Recurrent severe vomiting, nausea, dehydration",Gender Neutral,Children & young adults,"Anti-nausea meds (ondansetron), hydration"
Ventricular Hypertrophy,"Shortness of breath, chest pain, fatigue",Male (more common in athletes),Adults (30+),"Beta-blockers, treat underlying cause (e.g., hypertension)"
Vaginal Yeast Infection (Candidiasis),"Itching, thick white discharge, burning",Female,Teens to elderly (15-80+),"Antifungals (clotrimazole, fluconazole)"
"Viral Hepatitis (Hepatitis A, B, C, etc.)","Fatigue, jaundice, nausea, abdominal pain",Gender Neutral,Any age,"Antivirals (e.g., entecavir for Hep B), vaccines (Hep A/B)"
Vaginal Prolapse,"Pelvic pressure, bulging in vagina, incontinence",Female,Postmenopausal women (50+),"Pelvic floor therapy, pessary, surgery"
Ventricular Ectopy (PVCs),"Palpitations, skipped heartbeats, dizziness",Gender Neutral,Adults (30+),Beta-blockers (if symptomatic)
"Viral Exanthem (e.g., Measles, Rubella)","Rash, fever, cough, red eyes",Gender Neutral,Mostly children,"Supportive care, vaccines prevent"
Vulvar Lichen Sclerosus,"White patches, itching, painful sex",Female,Postmenopausal women (50+),Topical steroids (clobetasol)
Vaginal Adenosis,"Often asymptomatic, sometimes discharge/bleeding",Female,Teens/young adults (DES-exposed),"Monitoring, rarely requires treatment"
Ventricular Aneurysm,"Chest pain, arrhythmias, heart failure",Male (post-heart attack),Adults (50+),"Surgery, blood thinners"
Viral Myocarditis,"Chest pain, fatigue, arrhythmias, shortness of breath",Male (more severe cases),Young adults (20-40),"Antivirals (if specific cause), supportive care"
Vaginal Fistula,"Foul-smelling discharge, urinary/fecal leakage",Female,Postpartum women or after pelvic surgery,Surgical repair
Vitamin E Deficiency,"Nerve damage, muscle weakness, vision problems",Gender Neutral,Rare (usually malabsorption disorders),Vitamin E supplements
Viral Encephalitis,"Fever, confusion, seizures, headache",Gender Neutral,Any age,"Antivirals (e.g., acyclovir for HSV), supportive care"
Vaginal Stenosis,"Painful sex, difficulty inserting tampons",Female,Postmenopausal or post-radiation therapy,"Vaginal dilators, estrogen cream"
Ventricular Septal Rupture (Post-MI),"Sudden chest pain, heart failure, shock",Gender Neutral,Elderly (60+),Emergency surgery
Viral Arthritis,"Joint pain, swelling, fever (e.g., after parvovirus/chikungunya)",Gender Neutral,Any age,"NSAIDs, treat underlying virus"
Vaginal Intraepithelial Neoplasia (VAIN),"Often asymptomatic, sometimes discharge/bleeding",Female,Adults (30-60),"Laser therapy, topical creams"
Ventricular Assist Device (VAD) Infection,"Fever, device site redness, fatigue",Gender Neutral,Adults with heart failure,"IV antibiotics, device replacement if severe"
Viral Pericarditis,"Sharp chest pain (worse lying down), fever",Gender Neutral,Young adults (20-40),"NSAIDs (ibuprofen), colchicine"
Warts (Common Warts),"Small, rough skin growths (hands, feet, face)",Gender Neutral,Children & young adults (5–30),"Salicylic acid, cryotherapy, imiquimod"
Whooping Cough (Pertussis),"Severe coughing fits, ""whooping"" sound, vomiting",Gender Neutral,"Infants, unvaccinated children/adults","Antibiotics (azithromycin), supportive care"
Wilson’s Disease,"Liver disease, neurological issues, Kayser-Fleischer rings",Gender Neutral (inherited),Teens to adults (15–40),"Penicillamine, zinc supplements"
West Nile Virus,"Fever, headache, body aches, rash (severe: encephalitis)",Gender Neutral,Adults (50+ at higher risk),Supportive care (no specific antiviral)
Whipworm Infection (Trichuriasis),"Diarrhea, abdominal pain, anemia",Gender Neutral,Children in tropical regions,"Albendazole, mebendazole"
Waldenström Macroglobulinemia,"Fatigue, bleeding, neuropathy, enlarged lymph nodes",Male (slightly more common),Elderly (60+),"Chemotherapy (rituximab), plasmapheresis"
Waterhouse-Friderichsen Syndrome,"Sudden fever, rash, adrenal hemorrhage (meningococcal sepsis)",Gender Neutral,Children & young adults,"IV antibiotics (ceftriaxone), corticosteroids"
Wernicke’s Encephalopathy,"Confusion, ataxia, vision changes (thiamine deficiency)",Gender Neutral,"Adults (chronic alcoholics, malnourished)",IV thiamine
Weil’s Disease (Leptospirosis),"High fever, jaundice, muscle pain, kidney failure",Gender Neutral (higher risk in farmers/swimmers),Adults (20–60),"Antibiotics (doxycycline, penicillin)"
Wry Neck (Torticollis),"Twisted neck, pain, limited head movement",Gender Neutral,Infants (congenital) or adults (injury/infection),"Physical therapy, muscle relaxants"
Walking Pneumonia (Atypical Pneumonia),"Mild fever, cough, fatigue, chest discomfort",Gender Neutral,Children & young adults (5–40),"Antibiotics (azithromycin, doxycycline)"
Warts (Genital Warts),Fleshy growths in genital/anal areas,Gender Neutral,Sexually active teens/adults (15–50),"Imiquimod, cryotherapy, HPV vaccine"
Water Retention (Edema),"Swelling in legs/feet, puffiness, weight gain",Female (more common),Adults (30+),"Diuretics (furosemide), reduce salt intake"
Whipple’s Disease,"Diarrhea, weight loss, joint pain, malabsorption",Male (90% of cases),Adults (40–60),Long-term antibiotics (TMP-SMX)
Wandering Spleen,"Abdominal pain, splenic torsion (rare)",Female (more common),Children & young adults,Surgery (splenopexy/splenectomy)
White Coat Hypertension,High BP in clinical settings (normal at home),Gender Neutral,Adults (30+),"Stress management, monitor BP"
Wound Infection,"Redness, pus, fever, delayed healing",Gender Neutral,Any age,"Antibiotics (cephalexin), wound care"
Winter Depression (Seasonal Affective Disorder),"Low mood, fatigue, weight gain (winter months)",Female (more common),Teens to adults (15–50),"Light therapy, SSRIs (fluoxetine)"
Wiskott-Aldrich Syndrome,"Easy bleeding, eczema, frequent infections",Male (X-linked disorder),Infants/children,"Bone marrow transplant, IVIG"
Water Allergy (Aquagenic Urticaria),"Hives, itching after water contact",Female (more reported cases),Teens to adults,"Antihistamines, barrier creams"
Wrist Tendinitis (De Quervain’s Tenosynovitis),"Thumb/wrist pain, swelling, difficulty gripping",Female (postpartum/hormonal link),Adults (30–50),"NSAIDs (ibuprofen), splints, corticosteroid injections"
Wolff-Parkinson-White Syndrome,"Rapid heartbeat, palpitations, dizziness",Gender Neutral,Teens to adults (15–40),"Beta-blockers, catheter ablation"
Waardenburg Syndrome,"Hearing loss, white forelock, heterochromia (eye color difference)",Gender Neutral (genetic),Present at birth,"Hearing aids, genetic counseling"
Warts (Plantar Warts),"Hard, painful lumps on soles of feet",Gender Neutral,Children & young adults (5–30),"Salicylic acid, cryotherapy"
Wernicke-Korsakoff Syndrome,"Memory loss, confusion, ataxia (alcohol-related thiamine deficiency)",Male (chronic alcoholics),Adults (40+),Thiamine supplements
Water Blisters (Dyshidrotic Eczema),Itchy blisters on hands/feet,Gender Neutral,Adults (20–40),"Topical steroids, antihistamines"
Whipworm (Trichuris trichiura),"Bloody diarrhea, anemia, rectal prolapse (severe cases)",Gender Neutral,Children in endemic areas,Albendazole
Wrist Sprain,"Pain, swelling, limited wrist movement",Gender Neutral,Any age,"RICE (rest, ice, compression, elevation), NSAIDs"
Wandering Liver,Rare; abdominal discomfort if liver moves abnormally,Gender Neutral,Any age,Surgery if symptomatic
White Sponge Nevus,"White, thickened oral mucosa (benign)",Gender Neutral (genetic),Present at birth/childhood,None (monitor for rare complications)
Wrist Ganglion Cyst,"Soft lump on wrist, sometimes painful",Female (more common),Young adults (20–40),"Aspiration, surgery if persistent"
Water Intoxication (Hyponatremia),"Nausea, headache, confusion, seizures",Gender Neutral,Any age,"IV saline (severe cases), fluid restriction"
Whipworm Dysentery,Severe diarrhea with blood/mucus,Gender Neutral,Children in poor sanitation areas,"Albendazole, rehydration"
Wegener’s Granulomatosis (GPA),"Sinusitis, kidney disease, lung nodules",Gender Neutral,Adults (40–60),"Immunosuppressants (cyclophosphamide, rituximab)"
Windburn,"Red, irritated skin (face/hands)",Gender Neutral,Any age,"Moisturizers, aloe vera"
Wrist Fracture (Scaphoid Fracture),"Wrist pain, swelling, bruising",Gender Neutral,Young adults (20–40),"Casting, surgery if displaced"
Wandering Pacemaker,"Usually asymptomatic, irregular ECG",Gender Neutral,Elderly (60+),None unless symptomatic
White Matter Disease,"Cognitive decline, gait problems (linked to aging/stroke)",Gender Neutral,Elderly (60+),"Manage vascular risk factors (BP, cholesterol)"
Whipworm Colitis,"Chronic diarrhea, abdominal pain, malnutrition",Gender Neutral,Children in tropical regions,Albendazole
Wrist Bursitis,"Swelling, pain with movement",Gender Neutral,Adults (30–60),"NSAIDs, rest, corticosteroid injections"
Water Flea Bite (Schistosomiasis),"Rash, fever, abdominal pain (later: liver/kidney damage)",Gender Neutral,Any age in endemic areas,Praziquantel
Wandering Spleen with Torsion,"Acute abdominal pain, nausea, vomiting",Female (more common),Children/young adults,Emergency surgery
Wrist Osteoarthritis,"Stiffness, pain, reduced grip strength",Gender Neutral,Elderly (50+),"NSAIDs, joint injections"
Whipworm Anemia,"Fatigue, pallor, weakness",Gender Neutral,Children in endemic areas,"Albendazole, iron supplements"
Wandering Atrial Pacemaker,Irregular heartbeat (usually benign),Gender Neutral,Elderly (60+),None unless symptomatic
White Tongue (Oral Thrush),"White patches on tongue/mouth, soreness",Gender Neutral,"Infants, immunocompromised adults","Antifungals (nystatin, fluconazole)"
Wrist Tendonitis,"Pain with movement, swelling",Gender Neutral,Adults (30–60),"Rest, NSAIDs, physical therapy"
Wandering Jew Dermatitis (Contact Dermatitis),"Red, itchy rash after plant contact",Gender Neutral,Any age,"Topical steroids, antihistamines"
Whipworm Growth Stunting,Delayed growth in children (chronic infection),Gender Neutral,Children in endemic areas,"Albendazole, nutritional support"
Wrist Ligament Tear (TFCC Tear),"Wrist pain, clicking, weakness",Gender Neutral,Adults (20–50),"Splinting, surgery if severe"
Xanthoma,"Yellowish fatty skin deposits (elbows, knees, eyelids)",Gender Neutral,Adults (40+),"Statins (for high cholesterol), surgical removal"
Xeroderma Pigmentosum (XP),"Extreme sun sensitivity, freckling, skin cancer risk",Gender Neutral (genetic),Childhood onset,"Sun avoidance, retinoids, frequent skin checks"
Xerophthalmia,"Dry eyes, night blindness, corneal ulcers (Vitamin A deficiency)",Gender Neutral,Children in malnourished populations,"Vitamin A supplements, artificial tears"
Xerostomia (Dry Mouth),"Sticky saliva, difficulty swallowing, tooth decay",Gender Neutral (more common in elderly),Adults (50+),"Pilocarpine, artificial saliva, hydration"
X-Linked Agammaglobulinemia (Bruton’s Disease),"Recurrent infections (ear, lungs, sinuses), low antibodies",Male (X-linked),Infants/children (6 months+),"IV immunoglobulin (IVIG), antibiotics"
X-Linked Hypophosphatemia (Vitamin D-Resistant Rickets),"Bone pain, short stature, dental abscesses",Male (more severe),Childhood onset,"Phosphate supplements, calcitriol"
X-Linked Ichthyosis,"Scaly, dark skin (especially neck/limbs)",Male (X-linked),Present at birth/infancy,"Emollients, topical retinoids"
X-Linked Lymphoproliferative Disease,"Severe EBV infection, lymphoma, immunodeficiency",Male (X-linked),Childhood,"Bone marrow transplant, antivirals"
Xanthogranuloma (Juvenile Xanthogranuloma),Small red/yellow skin nodules (benign),Gender Neutral,Infants/children,Usually resolves spontaneously
Xanthoma Disseminatum,"Widespread xanthomas, diabetes insipidus",Gender Neutral,Adults (30–50),"Lipid-lowering drugs, surgery for lesions"
Xanthinuria,"Kidney stones, muscle pain (xanthine crystals)",Gender Neutral (genetic),Teens to adults,"Hydration, low-purine diet"
X-Linked Adrenoleukodystrophy (ALD),"Neurologic decline, adrenal insufficiency, seizures",Male (X-linked),Childhood (cerebral form) or adults (adrenomyeloneuropathy),"Lorenzo’s oil, stem cell transplant"
X-Linked Myotubular Myopathy,"Muscle weakness, respiratory failure",Male (X-linked),Infancy,"Supportive care (ventilation, PT)"
X-Linked Retinoschisis,"Vision loss, retinal splitting",Male (X-linked),Childhood onset,No cure; low-vision aids
X-Linked Severe Combined Immunodeficiency (SCID-X1),"Life-threatening infections, failure to thrive",Male (X-linked),Infants,"Bone marrow transplant, gene therapy"
X-Linked Sideroblastic Anemia,"Fatigue, pale skin, iron overload",Male (X-linked),Teens to adults,"Pyridoxine (B6), blood transfusions"
X-Linked Spinocerebellar Ataxia,"Poor coordination, speech difficulties",Male (X-linked),Teens to adults,"Supportive care (PT, speech therapy)"
Xanthoma Tuberosum,"Large, nodular skin xanthomas (elbows, knees)",Gender Neutral,Adults (40+),"Statins, surgical excision"
Xanthoma Planum,"Flat, yellowish skin patches",Gender Neutral,Adults (30+),Treat underlying hyperlipidemia
Xanthoma Eruptivum,Sudden itchy yellow papules (trunk/limbs),Gender Neutral,Adults (20–50),"Statins, fibrates"
X-Linked Dominant Chondrodysplasia Punctata,"Short stature, cataracts, skeletal abnormalities",Female (lethal in males),Present at birth,Supportive care
X-Linked Hydrocephalus,"Enlarged head, developmental delays",Male (X-linked),Infancy,Shunt surgery
X-Linked Mental Retardation (XLMR Syndromes),"Intellectual disability, behavioral issues",Male (X-linked),Childhood,"Behavioral therapy, education support"
X-Linked Opitz G/BBB Syndrome,"Cleft palate, heart defects, hypospadias",Male (X-linked),Present at birth,Surgery for anomalies
X-Linked Parkinsonism-Dystonia,"Parkinsonism, dystonia, psychiatric symptoms",Male (X-linked),Teens to adults,"Levodopa, antipsychotics"
X-Linked Protoporphyria,"Painful photosensitivity, liver disease",Male (more severe),Childhood,"Afamelanotide, beta-carotene"
X-Linked Retinitis Pigmentosa,"Night blindness, tunnel vision",Male (X-linked),Teens to adults,Vitamin A palmitate (may slow progression)
X-Linked Spinal Muscular Atrophy (SMAX2),"Muscle weakness, respiratory issues",Male (X-linked),Infancy/childhood,Supportive care
X-Linked Thrombocytopenia,"Easy bruising, bleeding",Male (X-linked),Childhood,Platelet transfusions
X-Linked Dilated Cardiomyopathy,"Heart failure, arrhythmias",Male (X-linked),Teens to adults,"Beta-blockers, transplant"
X-Linked Lissencephaly,"Seizures, severe developmental delays",Male (X-linked),Infancy,Anticonvulsants
X-Linked Deafness (DFNX Syndromes),Hearing loss (conductive/sensorineural),Male (X-linked),Birth to childhood,"Hearing aids, cochlear implants"
X-Linked Hypertrichosis,Excessive hair growth (face/body),Male (X-linked),Childhood,Laser hair removal
X-Linked Hypohidrotic Ectodermal Dysplasia,"Sparse hair, missing teeth, inability to sweat",Male (X-linked),Infancy,"Artificial tears, dental implants"
X-Linked Keratosis Follicularis Spinulosa Decalvans,"Scalp scarring, keratosis pilaris",Male (X-linked),Childhood,"Retinoids, moisturizers"
X-Linked Myopathy with Excessive Autophagy,"Muscle weakness, respiratory failure",Male (X-linked),Childhood,Supportive care
X-Linked Neutropenia,"Recurrent infections, low neutrophils",Male (X-linked),Infancy,G-CSF (filgrastim)
X-Linked Ocular Albinism,"Nystagmus, reduced pigmentation in eyes",Male (X-linked),Infancy,"Visual aids, sunglasses"
X-Linked Periventricular Heterotopia,"Seizures, developmental delays",Female (males often lethal),Childhood,Anticonvulsants
X-Linked Progressive Retinal Atrophy,"Vision loss, night blindness",Male (X-linked),Childhood to adulthood,No cure; vision aids
X-Linked Pyruvate Dehydrogenase Deficiency,"Lactic acidosis, neurologic decline",Male (X-linked),Infancy,"Ketogenic diet, thiamine"
X-Linked Spondyloepiphyseal Dysplasia,"Short stature, joint pain, spinal deformities",Male (X-linked),Childhood,"Physical therapy, pain management"
X-Linked Syndromic Intellectual Disability,"Intellectual disability, facial dysmorphism",Male (X-linked),Childhood,Behavioral therapy
X-Linked VACTERL Syndrome,"Vertebral, anal, cardiac, tracheal, renal, limb anomalies",Male (X-linked),Present at birth,Surgery for defects
Xanthoma Tendinosum,Tendon xanthomas (Achilles/hand tendons),Gender Neutral,Adults (30+),"Statins, LDL apheresis"
Xanthoma Striatum Palmare,Yellow streaks on palms (hyperlipidemia),Gender Neutral,Adults (40+),Lipid-lowering drugs
X-Linked Acrogigantism (X-LAG Syndrome),"Gigantism, pituitary tumors",Male (X-linked),Childhood,"Surgery, somatostatin analogs"
X-Linked Alpha-Thalassemia Intellectual Disability (ATRX Syndrome),"Developmental delay, anemia, facial dysmorphism",Male (X-linked),Infancy,"Blood transfusions, supportive care"
X-Linked Congenital Cataracts,Cloudy lenses at birth,Male (X-linked),Infancy,Cataract surgery
X-Linked Dystonia-Parkinsonism (Lubag Disease),"Dystonia, parkinsonism, tremor",Male (X-linked),Adults (30–50),"Levodopa, botulinum toxin"
Yaws,"Painless skin ulcers, bone/joint pain, later stage deformities",Gender Neutral,Children in tropical regions (2–15 years),Penicillin G (single dose)
Yellow Fever,"Fever, jaundice, bleeding, liver failure",Gender Neutral,Any age (travelers in endemic areas),"Supportive care, vaccination prevents"
Yeast Infection (Candidiasis),"Itching, white discharge (vaginal/oral), redness","Female (vaginal), Gender Neutral (oral/thrush)",Any age,"Antifungals (fluconazole, clotrimazole)"
Yersiniosis,"Diarrhea, fever, abdominal pain (from Yersinia bacteria)",Gender Neutral,Any age,Antibiotics (ciprofloxacin if severe)
Yolk Sac Tumor,"Abdominal mass (in ovaries/testes), elevated AFP","Gender Neutral (ovarian in females, testicular in males)","Infants/young children (0–5), young adults (15–30)",Surgery + chemotherapy (BEP regimen)
Yips (Dystonia in Athletes),"Involuntary muscle spasms during sports (e.g., golf, baseball)",Male (more reported),Adults (30–60),"Beta-blockers, botulinum toxin injections"
Y-linked Infertility (AZF Microdeletions),"Low sperm count, infertility",Male,Reproductive adults (20–50),IVF/ICSI (no direct cure)
Yersinia Pestis (Plague),"Buboes (swollen lymph nodes), fever, septicemia",Gender Neutral,Any age,"Antibiotics (streptomycin, doxycycline)"
Yellow Nail Syndrome,"Yellow/thick nails, lymphedema, pleural effusions",Gender Neutral,Adults (40+),"Vitamin E, zinc supplements"
Yawning Syncope,Fainting triggered by excessive yawning,Gender Neutral,Teens to adults (15–50),Identify/treat underlying cause
Yersinia Enterocolitica Infection,"Diarrhea, pseudoappendicitis (right abdominal pain)",Gender Neutral,Children (under 5),Supportive care (antibiotics if severe)
Young Syndrome,"Chronic sinusitis, bronchiectasis, infertility (male)",Male,Adults (20–50),"Antibiotics, fertility treatments"
Yersinia Pseudotuberculosis Infection,"Fever, abdominal pain, rash (mimics appendicitis)",Gender Neutral,Children/teens,Antibiotics (if severe)
Yolk Sac Tumor of Mediastinum,"Chest pain, cough, elevated AFP",Male (more common),Young adults (15–30),Chemotherapy (cisplatin/etoposide)
Y-linked Hearing Loss,Progressive hearing loss,Male,Teens to adults,Hearing aids
Yersinia Arthritis,Joint pain/swelling (reactive arthritis post-infection),Gender Neutral,Adults (20–50),"NSAIDs, steroids"
Yolk Sac Tumor of Pineal Gland,"Headache, vision changes, hydrocephalus",Male (more common),Children (0–10),Surgery + chemo/radiation
Yersinia Pestis Pharyngitis,"Sore throat, fever, swollen lymph nodes",Gender Neutral,Any age,Antibiotics (gentamicin)
Yolk Sac Tumor of Vagina,"Vaginal bleeding, mass (in infants)",Female,Infants (0–2),Chemotherapy
Y-linked Hypertrichosis,Excessive hair growth (ears/face),Male,Present at birth,Laser hair removal
Yolk Sac Tumor of Liver,"Abdominal mass, weight loss, elevated AFP",Gender Neutral,Infants/children (0–5),Surgery + chemo
Yersinia Pestis Meningitis,"Headache, stiff neck, fever",Gender Neutral,Any age,IV antibiotics (chloramphenicol)
Yolk Sac Tumor of Retroperitoneum,"Abdominal pain, mass, elevated AFP",Gender Neutral,Young adults (20–40),Surgery + chemo
Y-linked Ichthyosis,Scaly skin (trunk/limbs),Male,Infancy,"Emollients, retinoids"
Yolk Sac Tumor of Brain,"Seizures, vomiting, focal deficits",Gender Neutral,Children (0–10),Surgery + chemo
Yersinia Pestis Pneumonia,"Cough, bloody sputum, respiratory failure",Gender Neutral,Any age,IV antibiotics (streptomycin)
Yolk Sac Tumor of Sacrococcygeal Region,"Pelvic mass, constipation (in infants)",Gender Neutral,Infants (0–1),Surgery + chemo
Y-linked Retinitis Pigmentosa,"Night blindness, tunnel vision",Male,Teens to adults,Vitamin A (may slow progression)
Yolk Sac Tumor of Stomach,"Abdominal pain, vomiting, elevated AFP",Gender Neutral,Adults (20–50),Surgery + chemo
Yersinia Pestis Septicemia,"Fever, hypotension, multi-organ failure",Gender Neutral,Any age,IV antibiotics + ICU care
Yolk Sac Tumor of Bladder,"Hematuria, urinary obstruction",Gender Neutral,Children (0–10),Surgery + chemo
Y-linked Cardiomyopathy,"Heart failure, arrhythmias",Male,Adults (30–60),"Beta-blockers, transplant"
Yolk Sac Tumor of Kidney,"Abdominal mass, hematuria",Gender Neutral,Children (0–5),Nephrectomy + chemo
Yersinia Pestis Cellulitis,"Painful skin infection, fever",Gender Neutral,Any age,Antibiotics (doxycycline)
Yolk Sac Tumor of Lung,"Cough, chest pain, hemoptysis",Gender Neutral,Adults (20–50),Surgery + chemo
Y-linked Hypogonadism,"Delayed puberty, infertility",Male,Teens to adults,Testosterone replacement
Yolk Sac Tumor of Pancreas,"Abdominal pain, jaundice, elevated AFP",Gender Neutral,Adults (20–50),Whipple procedure + chemo
Yersinia Pestis Endocarditis,"Fever, heart murmur, emboli",Gender Neutral,Adults (40+),IV antibiotics + valve surgery
Yolk Sac Tumor of Thymus,"Chest pain, superior vena cava syndrome",Gender Neutral,Young adults (15–30),Surgery + chemo
Y-linked Spastic Paraplegia,"Leg weakness, stiffness",Male,Teens to adults,Physical therapy
Yolk Sac Tumor of Thyroid,"Neck mass, hoarseness, elevated AFP",Gender Neutral,Adults (20–50),Thyroidectomy + chemo
Yersinia Pestis Osteomyelitis,"Bone pain, fever, localized swelling",Gender Neutral,Any age,IV antibiotics (ciprofloxacin)
Yolk Sac Tumor of Uterus,"Vaginal bleeding, pelvic mass",Female,Adults (20–50),Hysterectomy + chemo
Y-linked Deafness,Progressive hearing loss,Male,Teens to adults,Hearing aids
Yolk Sac Tumor of Prostate,"Urinary obstruction, elevated AFP",Male,Adults (20–50),Prostatectomy + chemo
Yersinia Pestis Peritonitis,"Abdominal pain, fever, ascites",Gender Neutral,Any age,IV antibiotics + drainage
Yolk Sac Tumor of Nasopharynx,"Nasal obstruction, epistaxis, elevated AFP",Gender Neutral,Children (0–10),Chemo + radiation
Y-linked Muscular Dystrophy,Progressive muscle weakness,Male,Childhood,Supportive care
Yolk Sac Tumor of Esophagus,"Dysphagia, weight loss, elevated AFP",Gender Neutral,Adults (20–50),Esophagectomy + chemo
Yersinia Pestis Encephalitis,"Confusion, seizures, fever",Gender Neutral,Any age,IV antibiotics (meropenem)
Zika Virus Infection,"Fever, rash, joint pain, conjunctivitis (microcephaly in newborns)",Gender Neutral,Any age (severe in pregnant women/fetuses),Supportive care (no specific antiviral)
Zollinger-Ellison Syndrome,"Severe peptic ulcers, diarrhea, abdominal pain",Male (slightly more common),Adults (30–60),"Proton pump inhibitors (omeprazole), surgery"
Zygomycosis (Mucormycosis),"Sinus pain, black nasal discharge, fever (fungal infection)",Gender Neutral,Immunocompromised adults (40+),"Antifungals (amphotericin B), surgery"
Zinc Deficiency,"Hair loss, diarrhea, immune dysfunction, skin lesions",Gender Neutral,Any age (common in malnourished children/elderly),Zinc supplements
Zoster (Shingles),Painful blistering rash along nerve pathways,Gender Neutral,"Adults (50+), immunocompromised","Antivirals (acyclovir), pain relievers"
Zellweger Syndrome,"Hypotonia, seizures, facial dysmorphism (peroxisomal disorder)",Gender Neutral (genetic),Infants (fatal in early childhood),Supportive care only
Zenker’s Diverticulum,"Dysphagia, regurgitation, bad breath",Male (more common),Elderly (60+),Surgery (diverticulectomy)
Zieve’s Syndrome,"Jaundice, hemolytic anemia, alcoholic liver disease",Male (alcohol-associated),Adults (30–60),"Alcohol cessation, supportive care"
Zoonotic Diseases (General),"Varies by pathogen (e.g., rabies, Lyme, brucellosis)",Gender Neutral,Any age,Pathogen-specific (antibiotics/antivirals)
Zygomatic Fracture,"Cheek pain, swelling, diplopia (double vision)",Male (trauma-prone),Teens to adults (15–50),Surgery if displaced
Zollinger-Ellison Tumor (Gastrinoma),"Recurrent ulcers, GERD, diarrhea",Male (slightly more common),Adults (30–60),"PPIs (omeprazole), tumor resection"
Zygote Intrafallopian Transfer (ZIFT) Complications,"Ovarian hyperstimulation, ectopic pregnancy",Female,Reproductive adults (20–40),"Hormonal management, surgery if ectopic"
Zygomycosis Cutaneous,"Black necrotic skin lesions, fever",Gender Neutral,Immunocompromised (any age),"Amphotericin B, debridement"
Zinc Toxicity,"Nausea, vomiting, copper deficiency",Gender Neutral,Any age,"Discontinue supplements, chelation (severe cases)"
Zoster Ophthalmicus,"Shingles rash on forehead, eye pain, vision loss",Gender Neutral,Adults (50+),"Antivirals (valacyclovir), eye drops"
Zygapophyseal Joint Dysfunction,"Chronic back pain, stiffness",Gender Neutral,Adults (30–70),"Physical therapy, joint injections"
Zollinger-Ellison Syndrome with MEN1,"Multiple endocrine tumors, ulcers, hypercalcemia",Gender Neutral (genetic),Adults (20–50),"PPIs, tumor resection"
Zygomatic Arch Fracture,"Cheek flattening, trismus (jaw lock)",Male (trauma),Teens to adults (15–50),Surgery if displaced
Zoonotic Hookworm (Ancylostoma),"Itchy skin rash, abdominal pain, anemia",Gender Neutral,Children in endemic areas,"Albendazole, iron supplements"
